fiNum;fiDiasPermanencia;fnTasaRecuperacion;fnTasaLiquidacion;fnAforoUtilizado;fnInteresOrdinario;fnColocacionAnual;fnYield;
6161;71;1.0000;1.0000;0.9200;172.00;8780.00;0.1313;
1997411;762;0.8000;0.6300;1.0600;7305.00;;5.0879;
2100388;770;1.0000;1.0000;0.8400;9625.00;;0.8179;
1664837;311;0.7300;0.6300;0.6700;817.00;;0.2723;
621969;507;0.9400;0.5000;0.9300;659.00;;1.4817;
2643870;101;1.0000;1.0000;0.8900;207.00;790.00;0.2848;
2091747;213;1.0000;1.0000;0.9200;202.00;;0.2061;
587884;1595;0.9800;0.6700;0.9200;1843.00;;0.8734;
727751;72;1.0000;1.0000;0.9200;68.00;;0.0630;
1271612;1465;0.9200;0.8200;1.0700;6779.00;2570.00;2.5643;
616725;1;;;0.9300;6258.00;;;
210355;1;;;0.9300;;;;
2890715;64;0.0000;0.0000;0.9100;;970.00;;
2692579;260;0.8000;0.0000;1.0000;2390.00;;;
1116482;1248;0.9700;0.8200;1.0500;3300.00;;0.6403;
290746;290;1.0000;1.0000;0.9200;185.00;;0.3936;
157011;1;;;0.9100;;;;
602137;504;0.9200;0.4000;0.9700;2248.00;;2.7140;
2813618;1;;;0.9100;300.00;;;
2714761;467;1.0000;1.0000;0.9100;1989.00;;1.0470;
328072;2;;;0.9100;;3940.00;;
1150883;127;0.6700;0.0000;0.9300;164.00;;;
1466246;1;;;0.9200;;;;
3047534;2;;;0.9200;;;;
1644348;140;1.0000;1.0000;0.9200;6360.00;;0.5158;
2045304;1;;;0.9300;;;;
1449312;1;;;0.9100;;7470.00;;
1805162;165;1.0000;1.0000;0.8600;1296.00;;0.4290;
1184213;91;0.5000;0.0000;1.0400;139.00;2640.00;;
2262435;58;0.0000;0.0000;0.9300;;;;
2515369;120;0.7500;0.5000;0.8900;140.00;;0.2676;
1254336;1192;0.9300;0.5700;0.9000;5214.00;;1.2376;
2503100;363;1.0000;1.0000;0.9100;483.00;;0.1495;
688169;2;;;0.9300;;;;
470246;618;1.0000;1.0000;1.1400;4108.00;16168.00;0.6959;
115943;101;0.5000;0.0000;0.8500;37.00;660.00;;
1842157;1;;;0.9200;;340.00;;
1772952;283;0.8800;0.0000;0.9200;1645.00;;;
518243;166;0.7500;0.0000;0.9000;531.00;;;
684866;3;;;0.9100;;21100.00;;
2546883;2463;0.9900;0.7900;0.8800;19724.00;2840.00;0.6911;
1380722;1027;0.9200;0.4400;0.9400;4936.00;;1.3618;
1719742;876;1.0000;1.0000;0.9700;889.00;;0.1187;
1834918;159;0.7500;0.0000;0.9300;90.00;;;
2733675;114;0.6700;0.5000;0.9400;319.00;;0.2150;
2102664;198;1.0000;1.0000;1.1000;686.00;1870.00;1.3597;
297816;57;0.0000;0.0000;0.9200;;;;
2372897;28;1.0000;1.0000;1.0900;84.00;690.00;0.1217;
414680;37;0.0000;0.0000;0.9300;;;;
1281509;57;0.0000;0.0000;0.9200;;;;
2867145;1;;;0.9100;;;;
1118710;460;0.9300;0.8300;0.8900;945.00;8360.00;0.2268;
2466448;138;0.7500;0.5000;0.5700;105.00;730.00;0.2617;
990857;86;0.5000;0.0000;0.9200;258.00;;;
751469;1;;;0.9300;;;;
2854452;230;0.7100;0.0000;0.8800;329.00;;;
1048005;1;;;0.9300;;;;
2640390;29;1.0000;1.0000;0.9200;234.00;;0.1031;
526816;950;0.9600;0.7800;1.0100;5766.00;;1.1401;
2819742;202;0.7800;0.3300;0.8900;378.00;;0.6367;
1986639;378;1.0000;;0.9400;6001.00;;0.5938;
1546646;1317;0.9400;0.7700;0.9900;1642.00;3900.00;0.7575;
2065007;1419;1.0000;1.0000;1.0500;6440.00;7700.00;0.8911;
2624357;1;;;0.9300;;;;
355062;39;1.0000;1.0000;0.9300;261.00;;0.2237;
955438;1;;;0.9300;;;;
1948012;85;0.5000;0.0000;0.8600;104.00;;;
1358890;1;;;0.9300;;;;
1722797;202;0.8300;0.0000;1.0000;753.00;;;
553182;356;0.9100;0.6700;0.9900;2687.00;;1.2617;
564672;232;0.8600;0.0000;0.9300;924.00;;;
1806576;85;0.6700;0.0000;0.8000;112.00;;;
1553738;1;;;0.9200;;500.00;;
1196464;2643;1.0000;1.0000;1.0100;8267.00;3390.00;0.4996;
2000466;36;0.0000;0.0000;0.9200;;;;
158797;62;1.0000;1.0000;0.8600;758.00;11960.00;0.1278;
1168270;144;0.7100;0.5000;0.9200;389.00;2500.00;0.3044;
2089928;804;1.0000;1.0000;0.9300;2420.00;;1.4345;
2074565;220;1.0000;1.0000;0.8500;1645.00;;0.3765;
2629305;34;1.0000;1.0000;0.6600;269.00;5000.00;0.0885;
637392;90;1.0000;1.0000;1.7000;1339.00;;0.1239;
1429511;212;1.0000;1.0000;1.1000;359.00;870.00;0.9441;
2828474;134;0.6700;0.0000;0.8600;100.00;;;
2867585;1;;;0.9100;;;;
372512;66;0.5000;0.5000;0.8800;319.00;;0.0647;
2483562;28;1.0000;1.0000;0.8300;425.00;;0.2043;
1520443;86;1.0000;1.0000;0.9100;171.00;;0.3101;
1473376;316;1.0000;1.0000;0.9100;96.00;750.00;0.1280;
1954599;1;;;0.9300;;;;
72350;140;1.0000;1.0000;0.9000;1695.00;;0.3480;
800368;315;0.9200;0.7500;0.9200;619.00;;0.8402;
2998870;28;1.0000;1.0000;0.5000;80.00;;0.0288;
445410;3;;;0.9100;;3660.00;;
62825;904;0.8900;0.4300;0.9300;3468.00;;1.1913;
913701;232;0.8600;0.0000;0.9100;564.00;770.00;;
1433011;1;;;0.9200;;;;
1662658;57;0.0000;0.0000;0.9200;;;;
2325356;136;0.4000;0.0000;0.8800;92.00;;;
1631498;2055;1.0000;1.0000;0.9200;2251.00;;1.4866;
504345;171;1.0000;1.0000;0.9100;468.00;;0.7088;
300885;64;0.0000;0.0000;1.0500;;2650.00;;
935453;1;;;0.9300;;;;
2331103;1642;0.9500;0.3300;0.9800;5770.00;;0.8313;
1946674;18;1.0000;1.0000;0.9200;63.00;;0.0692;
2740611;1;;;0.9200;;;;
96982;57;0.0000;0.0000;0.9200;;;;
2295701;37;0.0000;0.0000;0.9100;882.00;;;
128388;2;;;0.9300;;;;
1561564;34;1.0000;;1.0100;;1830.00;0.0000;
1442405;51;1.0000;1.0000;0.8600;280.00;2460.00;0.1138;
1322777;1;;;0.9500;;;;
2667030;64;0.0000;0.0000;0.8600;;;;
2843192;140;1.0000;1.0000;0.9100;283.00;;0.3675;
2506787;1779;1.0000;;0.8700;1287.00;;0.3563;
2670717;1;;;0.9300;;;;
2087698;38;0.0000;0.0000;0.9200;;;;
1420989;1;;;0.9300;641.00;;;
